City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
573,Amapa,BR,73.0,1.0,-52.0,
574,Sitio Novo Do Tocantins,BR,75.24,-5.5183,-47.4611,Imperial Hotel
575,Abakaliki,NG,77.0,6.3163,8.1169,K Suites
576,Paso De Los Toros,UY,76.3,-32.8167,-56.5167,Complejo Isabelino
577,Jacareacanga,BR,75.11,-6.2222,-57.7528,Casa do Ian😎
578,Upington,ZA,78.8,-28.4478,21.2561,River Place Manor
579,Salinopolis,BR,78.53,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
580,Oranjestad,AW,78.8,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
582,Mormugao,IN,75.2,15.4,73.8,Coconut Creek Resort
586,Mae Hong Son,TH,61.66,19.3003,97.9685,Baiyoke Chalet Hotel
587,Vapi,IN,68.49,20.3718,72.9049,hotel Dan
588,Quatre Cocos,MU,78.8,-20.2078,57.7625,Emeraude Beach Attitude Hotel
590,Guaimaro,CU,71.6,21.05,-77.35,La Constitución de Guáimaro
592,Banes,CU,80.6,20.9625,-75.7186,Hostal Iván y yailet
594,Kikwit,CD,72.66,-5.041,18.8162,Guest L'Amour
597,Tasgaon,IN,65.98,17.0333,74.6,Hotel Shree Siddhivinayak
598,Pavagada,IN,61.9,14.1,77.2667,HOTEL GAYATHRI COMFORTS
599,Kaputa,ZM,70.72,-8.4689,29.6619,Chelelwa Charlets
601,Mitu,CO,74.43,1.1983,-70.1733,
602,Malakal,SS,68.29,9.5334,31.6605,Nile Palace Hotel
604,Ayia Galini,GR,64.99,35.1,24.6833,Sunningdale Bungalows
606,Diffa,NE,66.45,13.3154,12.6113,ProDAF/Diffa
609,Tutoia,BR,79.92,-2.7619,-42.2744,Pousada Guará's
611,Nokaneng,BW,68.43,-19.6667,22.2667,
612,Adiake,CI,82.4,5.2863,-3.304,Monhotel résidence Inn Adiake
613,Buritis,BR,69.98,-15.6178,-46.4233,Hotel Rainha do Vale
616,Mogadishu,SO,77.32,2.0371,45.3438,Hotel Juba
617,Turmalina,BR,67.06,-17.2856,-42.73,Hotel Cristal
618,Piacabucu,BR,78.84,-10.4056,-36.4344,Piaçabuçu News
620,Ilabaya,PE,68.79,-17.4208,-70.5133,
623,Kidal,ML,67.8,18.4411,1.4078,
624,Orikum,AL,61.14,40.3253,19.4714,Hotel Denta
631,Longonjo,AO,64.09,-12.9067,15.2533,
632,Ayolas,PY,72.91,-27.4,-56.9,Hotel Ayolas
633,Nicoya,CR,87.8,10.1483,-85.45200000000001,Guayacan Real
635,Nanyamba,TZ,73.0,-10.6833,39.8333,Busati Lodge Nanyamba
636,Tahoua,NE,73.11,14.8888,5.2692,Bungalows Guesthouse
637,Loiza,PR,80.6,18.4313,-65.8802,Malibu Beachfront
639,Luziania,BR,68.0,-16.2525,-47.9503,HOTEL SARON
640,Awjilah,LY,68.04,29.1081,21.2869,
644,Maridi,SS,66.54,4.9158,29.4742,
645,Rio Grande,BR,70.0,-32.035,-52.0986,Hotel Atlântico Rio Grande
647,Olinda,BR,80.6,-8.0089,-34.8553,Flat Quatro Rodas Olinda
648,Garowe,SO,66.36,8.4054,48.4845,Curubo Hotel
650,Vangaindrano,MG,76.1,-23.35,47.6,Hotel Fanilo
651,Manoel Urbano,BR,76.28,-8.8389,-69.2597,Baixada Beira Rio
654,Antofagasta,CL,68.0,-23.65,-70.4,Holiday Inn Express Antofagasta
655,Koumra,TD,70.11,8.9126,17.5539,Motel Espoir
656,Bhag,PK,60.4,29.0415,67.8239,Bukhari hotl
660,Ruwi,OM,68.0,23.5996,58.5507,Al Falaj Hotel
662,Yaviza,PA,79.57,8.1537,-77.6931,
664,Machachi,EC,64.4,-0.5,-78.5667,Hotel - Casa del Montañero - Bed & Breakfast - Hostel - Machachi / Cotopaxi
668,Abong Mbang,CM,70.68,3.9833,13.1833,Auberge Angle Sur
674,Kaliua,TZ,68.63,-5.0606,31.7936,Millennium Complex
675,Mandera,KE,76.68,3.9366,41.867,Kornesh Hotel and Lodging
678,Bushehr,IR,62.65,28.9684,50.8385,Yas Hotel
679,Sargur,IN,60.04,11.9833,76.4167,VMH STAFF QUARTERS
680,Mitsamiouli,KM,82.71,-11.3847,43.2844,Foyer ADM
682,San Rafael Del Sur,NI,89.6,11.8485,-86.4384,Hospedaje El Chino
686,Ihosy,MG,68.63,-22.4,46.1167,Tamana Hôtel
